sales_staff_key,sales_staff_bk,first_name,last_name,full_name,position_en,date_hired,sales_branch_code,branch_city,branch_region,branch_country
1,4,Denis,Pagé,Denis Pagé,Branch Manager,03-Nov-2015 12:00:00 AM,6,Paris,,France
2,5,Élizabeth,Michel,Élizabeth Michel,Level 3 Sales Representative,08-Jun-2014 12:00:00 AM,6,Paris,,France
3,6,Émile,Clermont,Émile Clermont,Level 1 Sales Representative,07-Apr-2017 12:00:00 AM,6,Paris,,France
4,7,Étienne,Jauvin,Étienne Jauvin,Level 2 Sales Representative,16-Aug-2016 12:00:00 AM,6,Paris,,France
5,12,Elsbeth,Wiesinger,Elsbeth Wiesinger,Level 2 Sales Representative,27-Feb-2016 12:00:00 AM,13,Hamburg,,Germany
6,13,Else,Mörike,Else Mörike,Regional Manager,02-Jun-2018 12:00:00 AM,13,Hamburg,,Germany
7,14,Frank,Fuchs,Frank Fuchs,Branch Manager,12-Jan-2016 12:00:00 AM,13,Hamburg,,Germany
8,15,Gunter,Erler,Gunter Erler,Level 2 Sales Representative,05-Mar-2017 12:00:00 AM,13,Hamburg,,Germany
9,16,Björn,Winkler,Björn Winkler,Level 3 Sales Representative,03-Jul-2015 12:00:00 AM,14,München,,Germany
10,17,Fritz,Hirsch,Fritz Hirsch,Branch Manager,12-Sep-2015 12:00:00 AM,14,München,,Germany
11,18,Jörg,Kunze,Jörg Kunze,District Manager,07-Jan-2019 12:00:00 AM,14,München,,Germany
12,19,Silvano,Allessori,Silvano Allessori,Level 2 Sales Representative,06-Dec-2017 12:00:00 AM,7,Milano,,Italy
13,20,Maria,Iacobucci,Maria Iacobucci,Branch Manager,18-Aug-2015 12:00:00 AM,7,Milano,,Italy
14,21,Alessandra,Torta,Alessandra Torta,Level 3 Sales Representative,13-Feb-2016 12:00:00 AM,7,Milano,,Italy
15,22,Belinda,Jansen-Velasquez,Belinda Jansen-Velasquez,Level 1 Sales Representative,12-Feb-2018 12:00:00 AM,9,Amsterdam,Noord-Holland,Netherlands
